OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
13658,POINT (-97.60030638908117 34.55008166692806),AIRPORT,AOK,OKLAHOMA,STEPHENS,VELMA,NEWMAN FARM,PR,1140,SAN ANTONIO,,N,,,N,Y
13659,POINT (-95.90332222167412 36.42898055596454),AIRPORT,AOK,OKLAHOMA,WASHINGTON,VERA,SKYHAVEN AIRPARK,PR,675,KANSAS CITY,,N,122.8,,,
13660,POINT (-99.30336111066687 36.141055555974404),AIRPORT,AOK,OKLAHOMA,DEWEY,VICI,VICI MUNI,PU,2268,WICHITA,,N,,122.9,N,N
13661,POINT (-95.41316666660312 36.78255555591914),AIRPORT,AOK,OKLAHOMA,CRAIG,VINTA,DOUBLE R RANCH,PR,801,KANSAS CITY,,N,,,,
13662,POINT (-95.34205555619835 36.72416666694605),AIRPORT,AOK,OKLAHOMA,CRAIG,VINITA,RATCLIFF RANCH,PR,902,KANSAS CITY,,N,,,,
13663,POINT (-95.15169477796455 36.61461627794648),AIRPORT,AOK,OKLAHOMA,CRAIG,VINITA,VINITA MUNI,PU,695.20001221,KANSAS CITY,,N,,122.9,N,Y
13664,POINT (-95.14385499991867 36.48841972211145),AIRPORT,AOK,OKLAHOMA,MAYES,VINITA,STEARMANS ROOST,PR,702,KANSAS CITY,,N,,,N,Y
13665,POINT (-95.15666666739787 36.65343888878009),HELIPORT,AOK,OKLAHOMA,CRAIG,VINITA,SAINT FRANCIS HOSPITAL VINITA,PR,700,KANSAS CITY,,N,,,,
13666,POINT (-95.34180555595309 35.965694444137426),AIRPORT,AOK,OKLAHOMA,WAGONER,WAGONER,HEFNER-EASLEY,PU,598.90002441,DALLAS-FT WORTH,,N,,122.9,N,Y
13667,POINT (-95.391400000382 35.961755555640266),HELIPORT,AOK,OKLAHOMA,WAGONER,WAGONER,WAGONER COMMUNITY HOSPITAL,PR,575,DALLAS-FT WORTH,,N,,,,Y
13668,POINT (-95.25884944436662 35.99732166691399),AIRPORT,AOK,OKLAHOMA,WAGONER,WAGONER,WHITEHORN COVE,PR,568,ALBUQUERQUE,,N,,,,Y
13669,POINT (-98.40588583308468 34.37258444405255),AIRPORT,AOK,OKLAHOMA,COTTON,WALTERS,WALTERS MUNI,PU,1058,DALLAS-FT WORTH,,N,,122.9,N,Y
13670,POINT (-98.2663888888448 34.39916666712979),AIRPORT,AOK,OKLAHOMA,COTTON,WALTERS,JONES FARM FIELD,PR,1042,DALLAS-FT WORTH,,N,,,,
